Headword,POS,Definition,Tags
Assiduously,adv,showing great care and persistent effort,
Fingle,v,to obtain something by devious or dishonest means,
Histrionics,n,exaggerated dramatic behavior intended to attract attention,
Scalawag,n,a mischievous or disreputable person,
Mooching,v,to beg or ask for something without paying,
Cocklebur,n,a weed with hooked prickly burs,
Canker,n,an erosive or spreading sore; a plant disease causing dead tissue,
Gallivanting,v,to travel or roam about for pleasure or entertainment,
Sallow,adj,of an unhealthy yellowish or pale brown color,
Tattletale,n,a person who tells secrets about others’ wrongdoings,
Botheration,n,a state of annoyance or worry; something bothersome,
Phantasmagoric,adj,having a fantastic or deceptive appearance like a dream,
Vamoose,v,to depart quickly; to leave hurriedly,
Pusillanimous,adj,showing a lack of courage; timid and cowardly,
Fastidious,adj,very attentive to detail; hard to please,
Jocular,adj,characterized by joking; playful and humorous,
Chaperone,n,a person who accompanies and supervises a young person,
Fête,v,to honor or entertain lavishly; to celebrate,
Derring-do,n,"brave, daring deeds; heroic action",
Ultracrepidarian,n,one who gives opinions on topics beyond their knowledge,test
Peregrinate,v,to travel or wander from place to place,travel
Lugubrious,adj,"mournful, dismal, or gloomy in an exaggerated manner",tone
Scintilla,n,a tiny trace or spark of a specified quality,amount
Obdurate,adj,stubbornly refusing to change one’s opinion,trait
Zephyr,n,"a soft, gentle breeze",nature
